page	image	txt	tsv	chars	han_chars	word_count	avg_conf	low_conf_words	status	issues
106	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_106.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_106.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_106.tsv	388	18	184	43.22	102	review	low_confidence
107	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_107.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_107.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_107.tsv	106	6	42	31.66	33	review	low_confidence
108	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_108.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_108.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_108.tsv	397	25	171	37.79	116	review	low_confidence
109	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_109.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_109.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_109.tsv	303	14	105	30.86	84	review	low_confidence
110	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_110.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_110.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_110.tsv	380	18	181	40.69	112	review	low_confidence
111	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_111.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_111.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_111.tsv	273	22	115	31.80	90	review	low_confidence
112	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_112.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_112.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_112.tsv	390	20	151	33.40	112	review	low_confidence
113	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_113.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_113.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_113.tsv	308	12	121	35.02	92	review	low_confidence
114	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_114.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_114.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_114.tsv	195	24	80	38.44	53	review	low_confidence
115	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_115.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_115.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_115.tsv	339	12	131	33.08	103	review	low_confidence
116	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_116.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_116.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_116.tsv	397	17	162	29.33	130	review	low_confidence
117	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_117.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_117.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_117.tsv	261	17	100	29.36	77	review	low_confidence
118	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_118.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_118.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_118.tsv	414	19	190	38.25	123	review	low_confidence
119	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_119.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_119.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_119.tsv	468	14	228	39.66	140	review	low_confidence
