char	code	weight	source	note	old_code	status
果	gvu2	1	ruianese.character_01.dict.yaml:260	no valid mapping; tried gvu2	gvu2	unresolved
菓	gvu2	1	ruianese.character_01.dict.yaml:261	no valid mapping; tried gvu2	gvu2	unresolved
暢	ciae4	1	ruianese.character_01.dict.yaml:262	no valid mapping; tried ciae4	ciae4	unresolved
暢	qiae4	1	ruianese.character_01.dict.yaml:263	already valid	qiae4	ok
肅	sou3	1	ruianese.character_01.dict.yaml:264	already valid	sou3	ok
臨	leng5	1	ruianese.character_01.dict.yaml:266	already valid	leng5	ok
將	ziae1	1	ruianese.character_01.dict.yaml:267	no valid mapping; tried ziae1	ziae1	unresolved
將	jiae1	1	ruianese.character_01.dict.yaml:268	already valid	jiae1	ok
將	ziae4	1	ruianese.character_01.dict.yaml:269	no valid mapping; tried ziae4	ziae4	unresolved
將	jiae4	1	ruianese.character_01.dict.yaml:270	already valid	jiae4	ok
禺	njyu5	1	ruianese.character_01.dict.yaml:271	nyju5->njyu5	nyju5	converted
幽	iao1	1	ruianese.character_01.dict.yaml:272	already valid	iao1	ok
畢	bei3	1	ruianese.character_01.dict.yaml:273	already valid	bei3	ok
